,FF4GK,FF4MA
2004-06-01,-0.0008171,-0.0436
2004-07-01,-0.0096667,-0.0336
2004-08-01,0.0283799,0.0134
2004-09-01,0.0082767,-0.0246
2004-10-01,-0.0066667,-0.0146
2004-11-01,-0.0069931,0.0098
2004-12-01,-0.0059001,-0.009
2005-01-01,-0.0020969,-0.0201
2005-02-01,0.0,-0.0201
2005-03-01,0.0032258,0.0066
2005-04-01,0.0067742,-0.0036
2005-05-01,0.0093548,0.0064
2005-06-01,0.0011451,0.009
2005-07-01,0.0145001,-0.006
2005-08-01,-0.0074193,-0.0401
2005-09-01,0.0084193,0.0566
2005-10-01,0.0190001,-0.0042
2005-11-01,0.0,-0.0042
2005-12-01,-0.0030646,-0.0045
2006-01-01,-0.0011289,0.0115
2006-02-01,0.0241935,-0.0135
2006-03-01,0.003871,0.0339
2006-04-01,0.026129,0.0039
2006-05-01,0.0248387,0.0372
2006-06-01,0.0084946,-0.0031
2006-07-01,-0.0233333,0.0219
2006-08-01,-0.0270967,-0.0118
2006-09-01,-0.0079031,0.0082
2006-10-01,-0.0011292,-0.0052
2006-11-01,-0.003871,-0.0002
2006-12-01,-0.0032258,0.0378
2007-01-01,-0.0019355,0.0223
2007-02-01,-0.0048387,0.0273
2007-03-01,-0.005326,-0.0004
2007-04-01,-0.0096838,0.0146
2007-05-01,0.0037096,0.0134
2007-06-01,0.0012903,-0.0009
2007-07-01,0.0,-0.0009
2007-08-01,0.0,-0.0138
2007-09-01,-0.0736668,-0.1641
2007-10-01,-0.0953655,0.0401
2007-11-01,0.0290322,0.0101
2007-12-01,0.0203228,0.0492
2008-01-01,-0.0390322,-0.217
2008-02-01,-0.2062905,0.038
2008-03-01,0.0338709,0.2229
2008-04-01,0.0386291,-0.0561
2008-05-01,-0.0725,0.0189
2008-06-01,0.003,-0.002
2008-07-01,0.0120001,0.0292
2008-08-01,-0.026129,-0.0008
2008-09-01,0.056129,0.1264
2008-10-01,0.0474272,-0.0473
2008-11-01,-0.0474172,0.0077
2008-12-01,-0.095489,-0.0928
2009-01-01,-0.0895209,0.0558
2009-02-01,0.0,0.0558
2009-03-01,-0.0045161,0.0263
2009-04-01,-0.0051508,0.0304
2009-05-01,0.0046668,0.0254
2009-06-01,0.0,0.0234
2009-07-01,0.0,0.0234
2009-08-01,-0.0032258,0.0326
2009-09-01,-0.0057743,-0.0255
2009-10-01,-0.0109999,0.0049
2009-11-01,-0.008991,-0.0051
2009-12-01,-0.0035796,-0.0165
2010-01-01,-0.0024195,
2010-02-01,0.0,
2010-03-01,-0.0051613,
2010-04-01,-0.0058386,
2010-05-01,-0.0090001,
2010-06-01,0.0,
2010-07-01,0.0,
2010-08-01,0.0,
2010-09-01,0.0016668,
2010-10-01,0.0033333,
2010-11-01,0.0046666,
2010-12-01,0.0003333,
2011-01-01,-0.0009677,
2011-02-01,-0.0040321,
2011-03-01,0.0,
2011-04-01,0.0,
2011-05-01,0.0,
2011-06-01,-0.0015001,
2011-07-01,-0.0035,
2011-08-01,-0.0037096,
2011-09-01,0.0053763,
2011-10-01,0.0133333,
2011-11-01,0.0096667,
2011-12-01,0.0003333,
2012-01-01,0.0,
2012-02-01,0.0,
2012-03-01,0.0,
2012-04-01,0.0,
2012-05-01,0.0,
2012-06-01,0.0036666,
